"","age","gender","par_edu","hisei","mig_bac","paa_gpa","big_ext","big_agr","big_con","big_neu","big_ope","fem_inm","fem_exm"
"3607",30,"0","2",NA,"1",3.2,4.5,4,3,3,3.5,NA,NA
"3608",32.0800018310547,"0","1",NA,"1",1.9,4.5,4.33333333333333,4,4.5,5,3.55555555555556,2.16666666666667
"3609",20.6700000762939,"0","2",NA,"0",2.4,NA,NA,NA,NA,NA,NA,NA
"3610",25.25,"0","1",57.0299987792969,"1",2.1,5,4,4,1.5,4,NA,NA
"3611",34.9199981689453,"1","1",NA,"0",3,3.5,4.66666666666667,3,1,4,NA,NA
"3612",30,"0","2",82.4100036621094,"0",1.9,5,4.33333333333333,5,2.5,4.5,3.55555555555556,2.33333333333333
"3613",23,"0","1",56,"0",1.3,4.5,4.33333333333333,3,2.5,3,3,1.75
"3614",24.3299999237061,"0","1",25.2299995422363,"0",3.2,NA,NA,NA,NA,NA,NA,NA
"3615",31.5799999237061,"0","1",25.0400009155273,"0",3.1,4.5,3.33333333333333,3,2.5,4,NA,NA
"3616",21.0799999237061,"0","1",NA,"0",2.3,NA,NA,NA,NA,NA,NA,NA
"3617",30.9200000762939,"0","1",NA,"0",1.3,3.5,3.66666666666667,4.5,3,3.5,NA,NA
"3618",23.75,"0","1",54.5400009155273,"1",2,NA,NA,NA,NA,NA,NA,NA
"3619",30.5,"0","2",20.9099998474121,"0",2.2,3,3,3.5,3,4,NA,NA
"3620",31.1700000762939,"0","2",74.6600036621094,"0",1.9,4,3.66666666666667,4,3.5,4,2.66666666666667,2.41666666666667
"3621",26.8299999237061,"0","3",80.4599990844727,"0",2.3,5,3,3.5,2.5,4,NA,NA
"3622",26,"0","2",28.7000007629395,"0",1.9,2.5,4.66666666666667,3,3.5,5,NA,NA
"3623",32.5,"0","1",57.3800010681152,"0",2.8,3.5,3.33333333333333,4.5,3.5,3,2.77777777777778,2.33333333333333
"3624",23.9200000762939,"0","1",NA,"1",3.5,3,4.66666666666667,2.5,4,4.5,2.55555555555556,3.08333333333333
"3625",32.6699981689453,"1","3",NA,"0",2,4.5,3.33333333333333,3,2.5,4,3.77777777777778,1.58333333333333
"3626",32.5800018310547,"0","1",70.5699996948242,"0",3.5,4,4.33333333333333,4,2.5,4,NA,NA
"3627",29.3299999237061,"0","1",21.8199996948242,"0",3,5,5,5,2.5,5,NA,NA
"3628",30.5799999237061,"0","1",NA,"0",2.4,5,4.33333333333333,4.5,3,2.5,3,2.33333333333333
"3629",24.1700000762939,"0","1",NA,"0",3,4,3.66666666666667,4.5,2,4,NA,NA
"3630",25.3299999237061,"0","1",70.5699996948242,"0",2.7,3,3.66666666666667,3.5,2.5,2.5,3.22222222222222,2.75
"3631",30.9200000762939,"1","1",28.5200004577637,"0",2.2,3.5,5,4,1.5,2.5,NA,NA
"3632",30.6700000762939,"0","3",51.3499984741211,"0",2.8,4.5,3.66666666666667,4,3.5,3.5,NA,NA
"3633",33.25,"1","2",68.5500030517578,"1",3.2,5,4,3,1.5,4,3,2.83333333333333
"3634",23.5,"1",NA,NA,NA,3,4.5,3,2.5,2,2.5,NA,NA
"3635",33.25,"0","1",48.0999984741211,"0",3,3.5,3.33333333333333,3.5,3.5,2,NA,NA
"3636",33.8300018310547,"0","3",36.3499984741211,"0",2.4,4.5,3,4.5,2.5,4.5,3,2.58333333333333
"3637",31.5799999237061,"0","2",77.0999984741211,"0",1.4,4.5,4.66666666666667,5,2.5,4.5,3.77777777777778,2.16666666666667
"3638",28.4200000762939,"1","1",51.3499984741211,"0",2.2,4.5,4,3,2,2.5,NA,NA
"3639",29.0799999237061,"0","3",NA,"0",1.6,3,3.33333333333333,3.5,3,2.5,3.66666666666667,2
"3640",24.25,"0","2",75.4300003051758,"0",1.6,NA,NA,NA,NA,NA,NA,NA
"3641",21.8299999237061,"1","1",NA,"0",2.9,4.5,4,3.5,2.5,2.5,NA,NA
"3642",21.3299999237061,"0","3",NA,"0",2.2,NA,NA,NA,NA,NA,NA,NA
"3643",31.6700000762939,"1","1",74.7900009155273,"0",1.9,3.5,4,4,1,2.5,3.33333333333333,2.75
"3644",30.6700000762939,"1","1",NA,"0",2,4.5,3.33333333333333,3.5,3,3.5,3.55555555555556,3
